id,text,ground_truth,prediction, confidence
1,I’m terrified of failing at the moment,fear
2,I feel rage building up at the moment,anger
3,I feel anxious and scared today,fear
4,I think things will fail lately,pessimism
5,I feel hurt and disappointed,sadness
6,I feel angry about what happened these days,anger
7,I feel delighted right now,joy
8,I’m grateful for this support lately,love
9,I feel understood recently,love
10,I’ve lost hope about things these days,pessimism
11,I feel emotionally supported,love
12,I’m angry at everything these days,anger
13,I feel discouraged about everything right now,pessimism
14,I feel satisfied and happy,joy
15,I can’t control my anger lately,anger
16,,
17,I feel hopeless lately,pessimism
18,I feel upbeat and happy,joy
19,I feel scared and tense recently,fear
20,I feel great today right now,joy
21,I feel everything is pointless right now,pessimism
22,I feel cheerful today these days,joy
23,I feel trust and affection at the moment,love
24,I’m grateful for this support at the moment,love
25,I feel cheerful today at the moment,joy
26,I feel upbeat and happy recently,joy
27,I feel overwhelmed and sad lately,sadness
28,I feel everything is pointless,pessimism
29,I feel emotionally close these days,love
30,I feel negative about everything these days,pessimism
31,Nothing really matters anymore these days,pessimism
32,Nothing really matters anymore,pessimism
33,I feel close and valued lately,love
34,I finally finished my project today,joy
35,Life feels heavy right now these days,sadness
36,I feel irritated constantly right now,anger
37,I feel broken inside,sadness
38,I’m terrified of failing at the moment,fear
39,This makes me really angry these days,anger
40,I feel sad for no reason today,sadness
41,I feel really happy today,joy
42,I feel angry about what happened recently,anger
43,I feel pessimistic about life today,pessimism
44,I don’t feel optimistic anymore lately,pessimism
45,I feel cared for recently,love
46,I feel a lot of affection today,love
47,Today feels amazing,joy
48,today,
49,I feel loved right now,love
50,I’m enjoying this moment at the moment,joy
51,I feel supported emotionally lately,love
52,Everything feels pointless at the moment,pessimism
53,I feel comforted recently,love
54,I feel frustrated and angry at the moment,anger
55,I feel tired and low,sadness
56,I feel everything is pointless,pessimism
57,I feel nervous inside at the moment,fear
58,I’m irritated by everything today at the moment,anger
59,I feel panic thinking about it these days,fear
60,I feel joyful and relaxed these days,joy
61,I’m terrified of failing,fear
62,I finally finished my project,joy
63,I’m scared about my exams today,fear
64,I feel delighted right now today,joy
65,I feel angry about what happened these days,anger
66,I feel irritated and upset recently,anger
67,I feel rage within me today,anger
68,I’m scared about my exams recently,fear
69,I feel annoyed all the time at the moment,anger
70,at the moment,
71,I’m irritated by everything today,anger
72,I’m grateful for this support right now,love
73,I feel joyful and relaxed recently,joy
74,I feel satisfied and happy recently,joy
75,I’m terrified of failing at the moment,fear
76,Nothing feels right anymore right now,sadness
77,Things are going great for me today,joy
78,I feel bonded emotionally today,love
79,This makes me really angry these days,anger
80,I feel upbeat and happy these days,joy
81,I feel drained emotionally right now,sadness
82,I feel panic thinking about it these days,fear
83,I feel drained emotionally recently,sadness
84,It feels useless to try right now,pessimism
85,I’m enjoying this moment these days,joy
86,I’m proud of myself lately,joy
87,I feel warmth and trust these days,love
88,I feel angry about what happened today,anger
89,I’m scared of what will happen recently,fear
90,It feels useless to try right now,pessimism
91,I feel frustrated and angry lately,anger
92,I feel weak and low lately,sadness
93,I feel anxious constantly at the moment,fear
94,today,
95,I feel thankful for you at the moment,love
96,I feel emotionally supported recently,love
97,I’ve lost hope about things at the moment,pessimism
98,I feel nervous about tomorrow recently,fear
99,Life feels heavy right now,sadness
100,I’m fed up and angry recently,anger
101,I feel rage building up these days,anger
102,Nothing feels right anymore recently,sadness
103,I feel emotionally numb right now,sadness
104,I value this connection these days,love
105,I value this connection at the moment,love
106,I feel stuck in negativity these days,pessimism
107,I feel irritated and upset,anger
108,I feel really low today lately,sadness
109,I feel positive today recently,joy
110,I’m fed up and angry these days,anger
111,I feel accomplished right now,joy
112,I feel cared for these days,love
113,I feel discouraged about everything right now,pessimism
114,I’m terrified of failing recently,fear
115,I feel emotionally drained these days,sadness
116,I feel upbeat and happy recently,joy
117,I feel nervous about tomorrow at the moment,fear
118,I feel weak and low at the moment,sadness
119,I feel anxious about the future today,fear
120,I don’t believe things will improve,pessimism
121,I’m fed up and angry right now,anger
122,I feel cared for lately,love
123,I feel rage within me right now,anger
124,I’m scared of what will happen these days,fear
125,I’m irritated by everything today right now,anger
126,I feel a lot of affection recently,love
127,I feel nothing will change at the moment,pessimism
128,I’m feeling down today at the moment,sadness
129,I feel supported emotionally these days,love
130,I don’t see things getting better,pessimism
131,I feel satisfied and happy recently,joy
132,right now,
133,I feel loved right now these days,love
134,I feel cheerful today at the moment,joy
135,I feel annoyed all the time these days,anger
136,It feels useless to try,pessimism
137,I feel close and valued recently,love
138,It feels useless to try at the moment,pessimism
139,I don’t see a positive future these days,pessimism
140,I don’t expect good outcomes lately,pessimism
141,I don’t expect good outcomes today,pessimism
142,I’m feeling wonderful these days,joy
143,I feel annoyed all the time these days,anger
144,I feel overwhelmed and sad,sadness
145,I feel rage within me,anger
146,I’m annoyed beyond control these days,anger
147,I’m afraid things might go wrong these days,fear
148,I feel anxious constantly these days,fear
149,I feel safe and cared for recently,love
150,I feel a lot of affection right now,love
151,I feel broken inside lately,sadness
152,I don’t see things getting better these days,pessimism
153,I’m angry at everything right now,anger
154,I’m irritated by everything today right now,anger
155,I’m scared about my exams recently,fear
156,I’m enjoying this moment at the moment,joy
157,I feel angry and tense,anger
158,I feel negative about everything right now,pessimism
159,I’m irritated by everything today lately,anger
160,It feels useless to try,pessimism
161,I feel irritated and upset,anger
162,I’m constantly worried recently,fear
163,I feel warmth and trust lately,love
164,I feel weak and low right now,sadness
165,I feel nervous and worried right now,fear
166,I feel trust and affection,love
167,I really appreciate you at the moment,love
168,I feel angry inside at the moment,anger
169,I feel frustrated and angry today,anger
170,I’m in a really good mood at the moment,joy
171,I feel a lot of affection lately,love
172,I feel upset and mad,anger
173,I feel irritated constantly lately,anger
174,I feel bonded emotionally these days,love
175,I’m in a really good mood these days,joy
176,Life feels heavy right now at the moment,sadness
177,I think things will fail,pessimism
178,I value this connection right now,love
179,at the moment,
180,I feel anxious constantly today,fear
181,I’m really frustrated right now today,anger
182,I feel irritated and upset these days,anger
183,I feel empty inside,sadness
184,I feel anxious and scared at the moment,fear
185,I feel excited and joyful at the moment,joy
186,I feel anxious about the future recently,fear
187,I feel stuck in negativity today,pessimism
188,I feel discouraged about everything lately,pessimism
189,I’m feeling wonderful these days,joy
190,I feel nothing will change recently,pessimism
191,I feel overwhelmed and sad right now,sadness
192,I don’t see meaning in trying lately,pessimism
193,I feel positive today right now,joy
194,I feel emotionally drained these days,sadness
195,I feel appreciated today,love
196,I feel everything is pointless lately,pessimism
197,I’m proud of myself recently,joy
198,This makes me really angry today,anger
199,I feel irritated and upset lately,anger
200,I’m grateful for this support these days,love
201,I feel emotionally numb at the moment,sadness
202,I feel stuck in a bad place today,pessimism
203,I feel anxious and scared lately,fear
204,I feel empty inside recently,sadness
205,I feel bonded emotionally recently,love
206,I feel appreciated lately,love
207,I value this connection lately,love
208,I feel accomplished,joy
209,I feel lonely and sad today,sadness
210,I feel loved right now at the moment,love
211,I feel happy and content recently,joy
212,I feel warmth inside recently,love
213,I’m feeling wonderful lately,joy
214,I’m afraid of making mistakes today,fear
215,I feel panic thinking about it recently,fear
216,I’m afraid things might go wrong,fear
217,I feel drained emotionally these days,sadness
218,I’m smiling today right now,joy
219,I feel nervous inside lately,fear
220,I feel anxious about the future,fear
221,I feel panic rising at the moment,fear
222,I don’t expect good outcomes recently,pessimism
223,I don’t feel like doing anything right now,sadness
224,I’m grateful for this support lately,love
225,This makes me really angry right now,anger
226,I’m scared of consequences recently,fear
227,I feel understood lately,love
228,I feel upbeat and happy,joy
229,I feel nervous and worried today,fear
230,It feels useless to try today,pessimism
231,I feel nervous and worried at the moment,fear
232,I feel satisfied and happy today,joy
233,I don’t see a positive future right now,pessimism
234,I feel panic thinking about it right now,fear
235,I’m feeling down today right now,sadness
236,I feel positive today,joy
237,I feel nervous inside recently,fear
238,I really appreciate you,love
239,I feel nervous about tomorrow today,fear
240,I think things will fail these days,pessimism
241,I really appreciate you recently,love
242,I feel cheerful today at the moment,joy
243,I feel nervous inside today,fear
244,I feel trust and affection today,love
245,Everything feels pointless right now,pessimism
246,I don’t feel optimistic anymore today,pessimism
247,I’m irritated by everything today right now,anger
248,I feel broken inside,sadness
249,I feel happy and content right now,joy
250,I feel drained emotionally these days,sadness
251,I feel sad for no reason today,sadness
252,I feel anxious and scared today,fear
253,Things are going great for me,joy
254,I feel discouraged about everything lately,pessimism
255,I feel joyful and relaxed today,joy
256,I feel accomplished today,joy
257,I feel nothing will change these days,pessimism
258,I feel pessimistic about life these days,pessimism
259,I feel emotionally close recently,love
260,I feel empty inside at the moment,sadness
261,I’m afraid of making mistakes these days,fear
262,I can’t control my anger at the moment,anger
263,I feel really low today recently,sadness
264,I feel nervous about tomorrow right now,fear
265,I feel fearful inside lately,fear
266,I feel tired and low these days,sadness
267,Everything feels pointless these days,pessimism
268,I’m fearful about outcomes at the moment,fear
269,I feel hurt and disappointed,sadness
270,I feel close and valued today,love
271,I value this connection,love
272,I’m fearful about outcomes at the moment,fear
273,I feel great today recently,joy
274,I’m upset and furious today,anger
275,I feel anxious about the future today,fear
276,I feel angry and tense recently,anger
277,I can’t control my anger these days,anger
278,I feel sad for no reason,sadness
279,I’m fed up and angry lately,anger
280,I feel upset and mad at the moment,anger
281,I feel drained emotionally at the moment,sadness
282,I feel worried and afraid at the moment,fear
283,I feel sad for no reason,sadness
284,I feel accomplished today,joy
285,I don’t feel optimistic anymore these days,pessimism
286,I value this connection at the moment,love
287,I feel weak and low today,sadness
288,I’m enjoying this moment,joy
289,Today feels amazing at the moment,joy
290,lately,
291,I feel anxious and scared right now,fear
292,I don’t see meaning in trying,pessimism
293,I don’t feel optimistic anymore,pessimism
294,I feel positive today these days,joy
295,I feel satisfied and happy right now,joy
296,I’m enjoying this moment these days,joy
297,I finally finished my project recently,joy
298,I’ve lost hope about things lately,pessimism
299,I feel like giving up at the moment,sadness
300,Life feels heavy right now,sadness
301,I feel happy and content lately,joy
302,I feel understood at the moment,love
303,I feel emotionally close lately,love
304,I don’t see meaning in trying right now,pessimism
305,I’m afraid things might go wrong recently,fear
306,I feel lonely and sad,sadness
307,I feel worried and afraid lately,fear
308,I’m scared of consequences these days,fear
309,I’m fearful about outcomes these days,fear
310,Nothing really matters anymore lately,pessimism
311,I feel mentally exhausted recently,sadness
312,I feel cheerful today recently,joy
313,I can’t control my anger lately,anger
314,I feel delighted right now lately,joy
315,I feel irritated and upset recently,anger
316,Life feels heavy right now,sadness
317,I feel stuck in a bad place lately,pessimism
318,I feel trust and affection right now,love
319,I’m scared about my exams these days,fear
320,I’m afraid of making mistakes,fear
321,I feel anxious about the future at the moment,fear
322,I feel sad for no reason these days,sadness
323,I feel cared for at the moment,love
324,Life feels heavy right now lately,sadness
325,I feel loved right now at the moment,love
326,I feel upbeat and happy these days,joy
327,I feel upset and mad these days,anger
328,I feel irritated and upset lately,anger
329,I’m fed up and angry these days,anger
330,I feel anxious about the future at the moment,fear
331,I feel nervous and worried right now,fear
332,I feel frustrated and angry lately,anger
333,Nothing really matters anymore lately,pessimism
334,I’m constantly worried right now,fear
335,I’m not okay emotionally at the moment,sadness
336,I feel discouraged about everything these days,pessimism
337,I feel empty inside recently,sadness
338,I think things will fail today,pessimism
